sample.x	sample.y	jsd
G_diarrhea_024	A_diarrhea_016	0.944391300528073
G_diarrhea_025	A_diarrhea_016	0.972904933804548
G_diarrhea_026	A_diarrhea_016	0.967434869612404
G_diarrhea_027	A_diarrhea_016	0.961621195936271
G_diarrhea_028	A_diarrhea_016	0.967990423593359
G_recovery_d003	A_diarrhea_016	0.906231652228757
G_recovery_d004	A_diarrhea_016	0.875939339390169
G_recovery_d005	A_diarrhea_016	0.871638227391464
G_recovery_d006	A_diarrhea_016	0.884806375476564
G_recovery_d007	A_diarrhea_016	0.872553410100448
G_recovery_d008	A_diarrhea_016	0.875686931104475
G_recovery_d009	A_diarrhea_016	0.886763168837326
G_recovery_d010	A_diarrhea_016	0.876045572869912
G_recovery_d015	A_diarrhea_016	0.867836383692373
G_recovery_d016	A_diarrhea_016	0.870265908573958
G_recovery_d023	A_diarrhea_016	0.868761738834564
G_recovery_d031	A_diarrhea_016	0.826463018456238
G_recovery_d037	A_diarrhea_016	0.826529126491551
G_recovery_d044	A_diarrhea_016	0.852722586181387
G_recovery_d051	A_diarrhea_016	0.881865271080437
G_recovery_d086	A_diarrhea_016	0.863089728037916
A_diarrhea_016	A_diarrhea_020	0.132042203657116
A_diarrhea_020	A_diarrhea_020	0
A_diarrhea_021	A_diarrhea_020	0.198013374646039
A_diarrhea_024	A_diarrhea_020	0.265299121304421
A_diarrhea_027	A_diarrhea_020	0.515141237394452
A_diarrhea_032	A_diarrhea_020	0.324216495177724
A_diarrhea_049	A_diarrhea_020	0.676195264373858
A_diarrhea_062	A_diarrhea_020	0.54807811101935
A_diarrhea_076	A_diarrhea_020	0.568987686074732
A_diarrhea_078	A_diarrhea_020	0.6754996294117
A_diarrhea_080	A_diarrhea_020	0.764640538709194
A_diarrhea_081	A_diarrhea_020	0.780685224942981
A_diarrhea_084	A_diarrhea_020	0.773328328008019
A_diarrhea_085	A_diarrhea_020	0.766582502819609
A_diarrhea_086	A_diarrhea_020	0.776597031791679
A_diarrhea_087	A_diarrhea_020	0.776350918688432
A_diarrhea_089	A_diarrhea_020	0.762699044579243
A_diarrhea_090	A_diarrhea_020	0.762238353535249
A_diarrhea_091	A_diarrhea_020	0.780271524275922
A_diarrhea_092	A_diarrhea_020	0.8060444650577
A_diarrhea_093	A_diarrhea_020	0.806857265488172
A_diarrhea_094	A_diarrhea_020	0.819867210779205
A_diarrhea_095	A_diarrhea_020	0.762706503701732
A_diarrhea_096	A_diarrhea_020	0.762031104768215
A_diarrhea_098	A_diarrhea_020	0.819316679713609
A_diarrhea_099	A_diarrhea_020	0.811583383429132
A_diarrhea_100	A_diarrhea_020	0.809906804735371
A_diarrhea_101	A_diarrhea_020	0.812277595691721
A_diarrhea_102	A_diarrhea_020	0.803778235198608
A_diarrhea_end	A_diarrhea_020	0.825656758138538
A_recovery_d004	A_diarrhea_020	0.892230426678911
A_recovery_d005	A_diarrhea_020	0.812325108013496
A_recovery_d006	A_diarrhea_020	0.887143550066379
A_recovery_d007	A_diarrhea_020	0.92946126784149
A_recovery_d008	A_diarrhea_020	0.92873126681412
A_recovery_d009	A_diarrhea_020	0.960969071154798
A_recovery_d010	A_diarrhea_020	0.940189310825413
A_recovery_d014	A_diarrhea_020	0.972752340600075
A_recovery_d016	A_diarrhea_020	0.892107433938229
A_recovery_d018	A_diarrhea_020	0.954697148231963
A_recovery_d025	A_diarrhea_020	0.945862421429005
A_recovery_d032	A_diarrhea_020	0.953489582055263
A_recovery_d039	A_diarrhea_020	0.958242712365456
A_recovery_d046	A_diarrhea_020	0.969884374335017
A_recovery_d053	A_diarrhea_020	0.971507890866136
A_recovery_d088	A_diarrhea_020	0.945105448966038
B_diarrhea_018	A_diarrhea_020	0.902921802207518
B_diarrhea_020	A_diarrhea_020	0.232627873048891
B_diarrhea_035	A_diarrhea_020	0.887351860526365
B_diarrhea_038	A_diarrhea_020	0.86332694849252
B_diarrhea_039	A_diarrhea_020	0.870733104699792
B_diarrhea_041	A_diarrhea_020	0.891050059419456
B_diarrhea_042	A_diarrhea_020	0.875879010169959
