ID,BS1D,BS1S,BS2D,BS2S,BS3D,BS3S,BS4D,BS4S,BS5D,BS5S,BS6D,BS6S,BS7D,BS7D,PS1D,PS1S,PS2D,PS2S,PS3D,PS3S,PS4D,PS4S,PS5D,PS5S,PS6D,PS6S,PS7D,PS7S
COG10401,0,0.0250896,0.069267,0.0722786,0.0451741,0.0752902,0,0,0.0783018,0.0813134,0.0662554,0.0662554,0.0179211,0.0179211,0.0301262,0.015058,0.00602322,0.00903483,0.00301161,0.00903483,0.0240929,0.015058,0.00903483,0.00602322,0.00301161,0.0120464,0.0120464,0.0120464
COG104,0.135522,0.156604,0.00358423,0,0.00358423,0,0.138534,0.102395,0.0215054,0,0.00716846,0,0.11143,0.11143,0.0120464,0.0143369,0.00358423,0.0107527,0.0179211,0.0107527,0.0322581,0.0215054,0.0322581,0.0215054,0.00358423,0.00358423,0.0143369,0
COG10407,0,0,0.0130719,0,0,0,0.0261438,0.0130719,0,0,0.0130719,0,0,0,0,0,0,0,0,0,0.0130719,0,0,0,0,0,0,0
COG1,0.412339,0.0868367,0.0715125,0.0561884,0.0332023,0.0280942,0.0817286,0.0485264,0.0408643,0.0306482,0.0459723,0.0204322,0.0919447,0.0919447,0,0.00766206,0.0102161,0.00255402,0.00255402,0.0102161,0.0102161,0.00510804,0,0.00255402,0,0,0.0178781,0.0102161
COG1043,0.0893907,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00255402,0,0,0,0,0,0,0,0,0,0,0,0,0
COG10437,0,0.120319,0.0200532,0.0300798,0,0.0100266,0.0300798,0.0300798,0.0300798,0.0401064,0,0.0100266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG1044,0,0,0,0,0.446701,0,0,0.00944558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG1045,0,0.0572278,0,0.0040877,0,0.0040877,0.0040877,0.0081754,0.0081754,0.0040877,0.0040877,0.0040877,0.0040877,0.0040877,0,0.0040877,0,0,0,0,0,0,0,0,0,0,0,0.0040877
COG10450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG10451,0,0.0908879,0.0233046,0.0326264,0,0.00699138,0.0419483,0.0139828,0.0279655,0.0186437,0.0279655,0.0163132,0.0349569,0.0349569,0,0,0.00466092,0,0.00233046,0.00233046,0.00233046,0,0,0.00233046,0,0.00466092,0.00932184,0.0186437
COG10452,0.0349569,0,0,0,0.0233046,0.463882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG1047,0,0.241322,0.137047,0.157902,0,0,0.220467,0.175778,0.157902,0.116192,0.137047,0.151944,0.163861,0.163861,0,0.0268136,0.020855,0.0327722,0.00595857,0.0148964,0.0446893,0.0327722,0.0387307,0.0268136,0.020855,0.04171,0.04171,0.0387307
COG1048,0.238343,0.144578,0.0321285,0.0803213,0.08342,0.0685236,0.0963855,0.0321285,0.0160643,0,0,0.0321285,0,0,0.0327722,0,0,0,0,0,0,0,0,0,0,0.498243,0,0
COG1050,0.0160643,0.0611492,0.0122298,0.0203831,0,0.0160643,0.0407661,0.0163065,0.0203831,0.0160643,0.00407661,0.0122298,0.0203831,0.0203831,0,0,0,0,0,0,0,0,0,0,0,0,0.00407661,0.0160643
COG105,0.0163065,0,0.0129418,0,0.00407661,0.00815323,0.0388253,0,0,0,0,0,0.0129418,0.0129418,0.0160643,0,0,0,0,0,0,0,0,0,0,0.00407661,0,0
COG10506,0,0.247775,0.117367,0.195612,0,0,0.247775,0.130408,0.130408,0.117367,0.104326,0.0652039,0.260816,0.260816,0,0.0521631,0.0260816,0.0521631,0.0260816,0.0130408,0.0391224,0.0912855,0.0391224,0.0260816,0,0,0.130408,0.117367
COG1051,0.260816,0.084196,0.0280653,0.0266621,0.0521631,0.117367,0.0561307,0.0140327,0.0392915,0.0168392,0.0238555,0.021049,0.0392915,0.0392915,0.0652039,0.00280653,0,0.00140327,0.00140327,0.00140327,0.00280653,0.00140327,0,0.00280653,0.00280653,0.0391224,0.00561307,0.0182425
COG10515,0.0350817,0,0.0265487,0,0.00561307,0.0168392,0.0176991,0.00884956,0.00884956,0,0.0619469,0.515424,0.0973451,0.0973451,0.00140327,0,0.0530973,0.00884956,0.0265487,0.00884956,0.0884956,0.0265487,0.0707965,0.0265487,0.141593,0.00982287,0.19469,0.00884956
COG10530,0.00884956,0.097191,0.0506203,0.0607444,0.0353982,0,0.0809925,0.0708684,0.0577072,0.532605,0.0475831,0,0.0577072,0.0577072,0.00884956,0.0536575,0.0607444,0.0566947,0.0556823,0.0526451,0.115414,0.0961786,0.0617568,0.0607444,0.0384714,0.0176991,0.0627692,0.0455583
COG1054,0.0880793,0,0,0,0.0202481,0.037459,0,0,0,0.037459,0,0.037459,0,0,0.064794,0,0,0,0,0,0,0,0,0,0,0.0384714,0,0
COG10541,0,0.0264924,0.0353232,0.0088308,0,0,0.0529848,0.0176616,0.0176616,0,0.0264924,0,0.0176616,0.0176616,0,0,0,0,0,0,0.0088308,0,0,0,0,0,0,0.0088308
COG10542,0.0264924,0.24367,0.0909218,0.112743,0.0176616,0.0088308,0.218212,0.305497,0.112743,0.0264924,0.229123,0,0.30186,0.30186,0,0.625542,0.483704,0.636453,0.556442,0.53462,0.931039,0.978319,0.574626,0.356414,0.701916,0,0.981956,0.24367
COG10548,0.0436425,0.44333,0.0802216,0.0928882,0.141838,0.141838,0.198443,0.265998,0.113999,0.0981956,0.549786,0.0654637,0.227998,0.227998,0.149112,0.679773,0.658662,0.65444,0.582662,0.603773,1.06821,1.11044,0.848661,0.607996,0.565774,0.181844,0.721995,0.498219
COG1055,0.223776,0,0,0,0.151999,0.164665,0,0,0,0.177332,0.164665,0.0844438,0,0,0.671329,0,0,0,0,0,0,0,0,0,0,0.464441,0,0
COG10557,0,0.07441,0.0194113,0.0226465,0,0,0.0388226,0.0129409,0.0161761,0,0,0,0.0226465,0.0226465,0,0,0.00970565,0,0,0,0,0,0.00323522,0,0,0,0.00970565,0
COG1056,0.0161761,0.0312737,0,0.00568613,0.00323522,0.0129409,0.00568613,0.0113723,0.00284306,0.0161761,0.0258817,0.00647043,0,0,0,0.00284306,0,0,0,0,0,0,0,0,0,0.00647043,0,0.00284306
COG10563,0.0142153,0,0,0,0,0.00284306,0,0,0,0.00284306,0,0,0,0,0.00568613,0,0,0,0,0,0,0,0,0,0,0,0,0
COG10565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG10570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG1059,0,0.0707359,0.00456361,0.0479179,0,0,0.0159726,0.0136908,0.0159726,0,0,0,0,0,0,0.011409,0.00912721,0.00456361,0,0.00684541,0,0.00684541,0.0022818,0.00456361,0,0,0.0182544,0.0182544
COG10596,0.022818,0,0,0,0.00456361,0.011409,0,0,0,0.0159726,0.0022818,0.00912721,0.00933333,0.00933333,0.00456361,0.028,0.0466666,0.084,0.0653333,0.00230203,0.084,0.00460405,0.0746666,0.00690608,0,0.011409,0.056,0.056
COG1060,0,0.0966851,0.0345304,0.0322284,0,0.00933333,0.085175,0.0230203,0.0253223,0,0,0.028,0.0414365,0.0414365,0,0.0161142,0.0092081,0.0161142,0.00690608,0.084,0.0138122,0.158667,0.0115101,0.121333,0.0186667,0.0373333,0.00690608,0.0184162
COG106,0.0621547,0.0445434,0,0,0.0322284,0.0184162,0.0111359,0,0,0.0253223,0.0230203,0.0161142,0,0,0.0253223,0,0,0,0,0,0,0,0,0,0,0.00460405,0,0
COG10603,0,0.0203628,0.0203628,0.0407256,0,0.0111359,0.0407256,0.0203628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG10610,0.0203628,0.0731707,0.0609756,0.0365854,0,0,0.0853659,0.097561,0.0487805,0,0,0.0203628,0.134146,0.134146,0,0,0.0243902,0.0121951,0,0.0121951,0.0121951,0,0.0121951,0.0121951,0,0,0.0121951,0
COG10614,0.0121951,0,0,0,0.0731707,0.0121951,0.0492721,0,0.618509,0.0121951,0.0365854,0.0609756,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121951,0,0
COG10629,0,0.0838268,0.0341517,0.0527799,0,0,0.0403611,0.031047,0.0492721,0,0,0,0.0155235,0.0155235,0,0,0,0,0,0,0,0,0.0031047,0,0,0,0,0.0031047
COG1063,0.0248376,0.315867,0.151906,0.173606,0.00931409,0.00620939,0.18084,0.168784,0.0341517,0.00620939,0.0248376,0.00620939,0.63569,0.63569,0,0.024112,0.0265232,0.012056,0.0024112,0.0168784,0.0265232,0.0554576,0.012056,0.0289344,0.0048224,0,0.0434016,0.0458128
COG1064,0.207363,0,0,0,0.0747472,0.103682,0,0,0.18084,0.185662,0.132616,0.243531,0.192896,0.192896,0.0313456,0,0,0,0,0,0,0,0,0,0,0.048224,0,0
COG10642,0,0.0635231,0.0127046,0.0317615,0,0,0.0190569,0.0190569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG1065,0.0381138,0,0,0,0,0.00635231,0,0,0.0127046,0.00635231,0,0.0254092,0.00635231,0.00635231,0,0,0,0,0,0,0,0,0,0,0.65287,0,0,0
COG10656,0,0.367536,0.176962,0.173559,0,0,0.202485,0.156543,0,0,0,0,0,0,0,0.045942,0.0187171,0.061256,0.0187171,0.0221202,0.0578529,0.0646591,0.0289264,0.0476435,0,0,0.0680622,0.07657
COG1066,0.275652,0,0,0,0.112303,0.0986902,0,0,0.17526,0.105496,0.148035,0.119109,0.190574,0.190574,0.0697637,0.0157171,0.0471513,0.0157171,0.0628684,0,0.0471513,0.0157171,0.0471513,0.0157171,0.00510466,0.0340311,0.0157171,0
COG10683,0,0.0276985,0.0218673,0.0276985,0,0,0.0379033,0.0306142,0,0,0,0,0.0471513,0.0471513,0,0.00728909,0.00291564,0.00437346,0.00291564,0.00583127,0.00291564,0.00583127,0.0116625,0.00437346,0,0.0157171,0.0102047,0.00583127
COG10688,0.0116625,0,0,0,0.016036,0.0306142,0,0,0.0451924,0.0685175,0.0335298,0.0437346,0.0247829,0.0247829,0.00874691,0,0,0,0,0,0,0,0,0,0.00145782,0.0189516,0,0
